Question,A,B,C,Correct answer
Ο Διεθνής Κανονισμός προς Αποφυγή Συγκρούσεων στη θάλασσα (Δ.Κ.Α.Σ.) ισχύει:,Στις περιοχές όλων των λιμένων της υδροφείου.,Σε όλο τον Ελληνικό θαλάσσιο χώρο.,Σε όλα τα πλάτη και μήκε της υδρογείου.,C
"Κάθε πλοίο, που καταφθάνει ένα άλλο πλοίο, οφείλει:",Να ζητήσει από το καταφθανόμενο να αλλάξει πορεία για να το προσπεράσει.,Να συνεχίσει την πορεία του αναμένοντας την αλλαγή πορείας του καταφθανόμενου.,Να απομακρυνθεί από την πορεία του καταφθανόμενου.,C
Αυτοί που χειρίζονται ταχύπλοα σκάφη οφείλουν:,Να επιτρέπουν την επιβίβαση ατόμων που ο αριθμός τους είναι μεγαλύτερος του επιτρεπόμενου μόνον εφόσον επικρατούν καλές καιρικές συνθήκες.,Να επιτρέπουν την επιβίβαση ατόμων που ο αριθμός τους είναι μεγαλύτερος του επιτρεπόμενου μόνον εφόσον τα σωστικά μέσα επαρκούν για όλους τους επιβαίνοντες.,Να απαγορεύουν την επιβίβαση ατόμων που ο αριθμός τους είναι μαγαλύτερος του επιτρεπομένου.,C
Κάθε αγκυροβολημένο πλοίο μήκους άνω των 50 μ. οφείλει να επιδεικνύει:,Ένα λευκό εφίστιο φανό.,Ένα λευκό φανό ορατό σε όλο τον ορίζοντα στην πλώρη και ένα λευκό φανό ορατό σε όλο τον ορίζοντα στην πρύμνη.,Ένα λευκό φανό ορατό σε όλο τον ορίζοντα στην πρύμνη.,B
Κάθε πλοίο ανά πάσα στιγμή θα πρέπει:,Να τηρεί οπτική μόνο επιτήρηση του περιβάλλοντος χώρου.,"Να τηρεί οπτική και ακουστική επιτήρηση του περιβάλλοντος χώρου, για να είναι σε θέση, σε περίπτωση απειλούμενου κινδύνου, να εκτιμήσει πλήρως την κατάσταση και τον κίνδυνο σύγκρουσης.",Να τηρεί ακουστική μόνο επιτήρηση του περιβάλλοντος χώρου.,B
Φανός ρυμούλκησης είναι:,"Περίβλεπτος κίτρινος φανός, που χρησιμοποιείται πάνω από το φανό της κορώνης του ρυμουλκού.","Κίτρινο φανάρι με τα ίδια χαρακτηριστικά του φανού της κορώνης, χρησιμοποιείται όταν γίνονται ρυμουλκήσεις και τοποθετείται πάνω από το φανό της κορώνης του ρυμουλκούμενου.","Κίτρινο φανάρι με τα ίδια χαρακτηριστικά του φανού της κορώνης, χρησιμοποιείται όταν γίνονται ρυμουλκήσεις και τοποθετείται πάνω από το φανό της κορώνης του ρυμουλκού.",C
Κάθε ιστιοφόρο πλοίο πρέπει να δίνει προτεραιότητα:,Σε κάθε μηχανοκίνητο σκάφος.,Σε κάθε πλοίο.,"Σε ακυβέρνητο, περιορισμένης ικανότητας χειρισμών και αλιευτικό.",C
Όταν βρισκόμαστε με το σκαφός μας σε δίαυλο ή θαλάσσιο διάδρομο:,Αγκυροβολούμε στο χώρο που μας εξυπηρετεί και επιδεικνύουμε τα σχήματα αγκυροβολίας για να μας προσέξουν τα άλλα σκάφη.,Αγκυροβολούμε σε χώρο που δεν παρεμποδίζουμε την κίνηση άλλων σκαφών.,Δεν αγκυροβολούμε και δεν παρεμποδίζουμε την κυκλοφορία άλλων σκαφών.,C
Ο όρος “Πλοίο Ασχολούμενο με την Αλιεία” σημαίνει:,Κάθε αλιευτικό πλοίο.,"Κάθε πλοίο που ψαρεύει με δίκτυα, ορμιές (συρτή), γρύπο ή άλλη αλιευτική συσκευή, η οποία περιορίζει την ικανότητα χειρισμών/ελιγμών του.",Κάθε πλοίο που ψαρεύει ανεξάρτητα αν περιορίζεται ή όχι η ικανότητα χειρισμών/ελιγμών του.,B
Ο Βορειοανατολικός (Β.Α.) άνεμος λέγεται και:,Τραμουντάνα.,Λεβάντης.,Γρέγος.,C
Το σήμα κινδύνου που εκπέμπεται από το ραδιοτηλέφωνο ή το VHF αποτελείται από:,Την ομάδα S.O.S. (...---…) του μορσικού κώδικα σημάτων.,Το σήμα κινδύνου NC (_._._.) του διεθνούς κώδικα σημάτων.,Τη λέξη MAYDAY.,C
Ένα ακυβέρνητο πλοίο οφείλει να φέρει κατά τη διάρκεια της ημέρας:,Δύο μαύρες σε περίνλεπτη θέση και σε κατακόρυφη γραμμή.,"Τρεις μαύρες σφαίρες σε περίβλεπτη θέση και σε κατακόρυφη γραμμή,",Σε περίβλεπτο σημείο δύο κώνους μαύρου χρώματος με τις κορυφές ενωμένες.,A
Για ασφαλή επιβίβαση σε μικρά σκάφη:,Παράμε όσο πιο κοντά γίνεται στο μέσον του σκάφους και κρατιόμαστε γερά από κάπου.,Στεκόμαστε με το ένα πόδι στο σκάφος και το άλλο στην ξηρά και πηδάμε μέσα την κάλληλη στιγμή.,Πηδάμε μέσα στο σκάφος όσο πιο κοντά γίνεται στο μέσον του.,A
Ένα μηχανοκίνητο σκάφος κάτω των 7 μέτρων του οποίου η ταχύτητα δεν υπερβαίνει τους 7 κόμβους μπορεί να επιδεικνύει:,Ένα μόνο λευκό περίβλεπτο φανό και εφόσον είναι πρακτικά δυνατόν και πλευρικούς φανούς.,Τους δύο τουλάχιστον πλευρικούς φανούς.,Τους δύο πλευρικούς φανούς και το φανό κορώνης.,A
Τρεις βραχείς συριγμοί σημαίνουν:,Στρέφω δεξιά.,Σρέφω αριστερά.,Χειρίζω ανάποδα.,C
Το ρεζερβουάρ βενζίνης πρέπει να είναι γεμάτος μέχρι πάνω:,"Όχι, για να μην έχουμε υπερχείλιση του καρμπυρατέρ.","Όχι, για να μένει κενός χώρος για τις διαστολές της βενζίνης.",Ναι για να έχουμε επάρκεια καυσίμου.,B
ΚΟΜΒΟΣ είναι:,Μονάδα μέτρησης της απόστασης στη θάλασσα.,Μονάδα μέτρησης της ταχύτητας στη θάλασσα και αντιστοιχεί σε 1 διανυόμενο μίλι ανά ώρα.,"Μονάδα μέτρησης της ταχύτητας στη θάλασσα και αντιστοιχεί σε 1,5 διανυόμενο μίλι ανά ώρα.",B
Η ασφαλής αγκυροβολία σε βάθος θάλασσας δώδεκα (12) μέτρων απαιτεί έκταμα (μήκος) του σχοινιού της άγκυρας τουλάχιστον:,36 μέτρων.,50 μέτρων.,40 μέτρων.,A
Γεωγραφικό στίγμα είναι:,Το σημείο πάνω στο ναυτικό χάρτη που βρίσκεται το σκάφος σε δεδομένη χρονική στιγμή και προσδιορίζεται από την τομή του παραλλήλου του πλάτους και του μεσημβρινού του μήκους που διέρχονται από το σημείο αυτό.,Η διαδρομή (πορεία) που πρέπει να ακολουθήσει ένα πλοίο. Η διαδρομή αυτή αποτελεί γωνία που σχηματίζεται μεταξύ της κατεύθυνσης του βορρά και του διαμήκους άξονα (γραμμή πλώρης – πρύμνης) του πλοίου.,Η απόσταση σε ναυτικά μίλια που βρίσκεται το σκάφος από το λιμένα προορισμού του.,A
Όταν ένα μηχανοκίνητο πλοίο σε ομίχλη εκπέμπει ανά δύο λεπτά ένα μακρύ συριγμό σημαίνει:,Ότι είναι ακίνητο (χωρίς να είναι αγκυροβολημένο).,Ότι προτίθεται να κάνει προσπέραση από δεξιά.,Ότι κινείται κανονικά.,C
