Question,A,B,C,Correct answer
Πορτολάνα είναι:,Ναυτικός χάρτης μαγάλης κλίμακας που δείχνει μία θαλάσσια περιοχή.,Απόσπασμα ναυτικού χάρτη υπό μικρή κλίμακα που δείχνει τη γύρω από κάθε λιμάνι περιοχή.,"Απόσπασμα ναυτικού χάρτη υπό μεγάλη κλίμακα που δείχνει με μεγάλες λεπτομέρειες λιμάνια, όρμους, λιμενίσκους.",C
Η χρησιμοποίηση/πυροδότηση των φωτιστικών σημάτων κινδύνου γίνεται:,Για να δείξουμε ότι κάποιος από την παρέα γιορτάξει.,Για να δείξουμε ότι πιάνουμε πολλά ψάρια στο σημείο που είμαστε.,Μετά από ώριμη και ορθή εκτίμηση της κατάστασης.,C
Βραχύς συριγμός είναι αυτός που διαρκεί:,4-6 δευτερόλεπτα.,1 δευτερόλεπτο.,2 δευτερόλεπτα.,B
Αν κατά τη διάρκεια του πλου ο καιρός επιδεινωθεί:,Συνεχίζουμε το ταξίδι προς τον προορισμό μας.,Αν απαιτείται από την κατάσταση της θάλασσας και τον άνεμο κάνουμε αλλαγές πορείας για να επιστρέψουμε γρήγορα στο λιμάνι ή άλλο όρμο.,Αυξάνουμε στο μέγιστο την ταχύτητα του σκάφους για να επιστρέψουμε το ταχύτερο στο λιμάνι.,B
Κλίμακα μήκους είναι:,Η χαραγμένη στη δεξιά και αριστερή πλευρά του χάρτη.,Η χαραγμένη στη πάνω ή κάτω πλευρά του χάρτη.,Στην αριστερή και δεξιά πλευρά του χάρτη και μετράμε με το κουμπάσο τις αποστάσεις.,B
Ένα αγκυροβολημένο πλοίο οφείλει κατά τη διάρκεια της ημέρας να φέρει:,Σε περίβλεπτο σημείο της πλώρης μία μεύρη σφαίρα.,Ένα μαύρο κώνο στην πλώρη.,Σε περίβλεπτο σημείο της πρύμνης μία μαύρη σφαίρα.,A
Ένα ιστιοφόρο πλοίο κατά τη νύχτα πρέπει να επιδεικνύει:,"Ένα εφίστιο φανό, τους πλευρικούς και τον κορώνης.","Δύο εφίστιους φανούς, τους πλευρικούς και τον κορώνης.",Τους πλευρικούς και τον κορώνης.,C
Ένα μηχανοκίνητο πλοίο κάτω των 50cm όταν κινείται κατά τη νύχτα πρέπει να επιδεικνύει:,"Δύο εφίστιους φανούς, τους πλευρικούς και τον κορώνης.","Ένα εφίστιο φανό, τους πλευρικούς και τον κορώνης.",Τους πλευρικούς και τον κορώνης.,B
Η γνώμη του δελτίου καιρού κρίνεται απαραίτητη για να:,Ματαιώνουμε το ταξίδι όταν επικρατούν δυσμενείς καιρικές συνθήκες.,Δείχνουμε στους επιβάτες ότι γνωρίζουμε από καιρό.,Αγκυροβολούμε και να καθορίζουμε το έκταμα.,A
Όταν οδηγούμε το σκάφος μας σε δίαυλο:,Κρατάμε πορεία στη μέση για να χειρίσουμε δεξιά αν παραστεί ανάγκη.,Κρατάμε πορεία στη μέση για να χειρίσουμε αριστερά αν παραστεί ανάγκη.,Κρατάμε μόνο δεξιά.,C
Αυξομείωση των στροφών της μηχανής (σκορτσάρισμα) οφείλεται συνήθως:,Όταν το πτερύγιο της προπέλας είναι σπασμένο.,Όταν έχει έντονο κυματισμό.,Όταν υπάρχει ελλιπής τροφοδοσία.,C
Στην είσοδο του λιμανιού ο πράσινος φανός τοποθετείται:,Στη αριστερή πλευρά σε σχέση με το εισερχόμενο πλοίο.,Στη δεξιά πλευρά σε σχέση με το εισερχόμενο πλοίο.,Στη δεξιά πλευρά σε σχέση με το εξερχόμενο πλοίο.,B
Η πρωταρχική αιτία ανέμου είναι:,Η διαφορά θερμοκρασίας του αέρα.,Η διεύθυνση και η ένταση.,Τα χαμηλά βαρομετρικά.,A
Αν κατά τη διάρκεια της ημέρας κινδυνεύουμε χρησιμοποιούμε:,Βεγγαλικά.,Καπνογόνα.,Ανάβουμε λευκό φως ή λευκή σημαία.,B
Ο εφίστιος φανός φωτίζει τόξο:,"225 μοιρών, λευκός και φωτίζει 112,5 μοίρες προς κάθε κατεύθυνση.","360 μοίρες, λευκός, 180 μοίρες πρύμνη και πλώρη.","135 μοίρες, λευκός, 67,5 μοίρες δεξιά και αριστερά της πρύμνης.",A
Οι ιδιοκτήτες ταχυπλόων σκαφών οφείλουν:,Να φροντίζουν για την επιθεώρηση των σκαφών τους σύμφωνα με τις κείμενες διατάξεις.,"Να φροντίζουν μόνο για την καλή, κατά την άποψη τους, εμφάνιση των σκαφών τους.",Να φροντίζουμε για την επιθεώρηση των σκαφών τους σύμφωνα με τις υποδείξεις των φίλων τους.,A
Σε κάθε περίπτωση το πλοίο που υποχρεούνται σύμφωνα με το ΔΚΑΣ να απομακρύνεται από το άλλο πλοίο πρέπει:,Να χειρίζει σιγά-σιγά και να τηρείται μακριά από αυτό.,Να αναμένει την εκδήλωση των προθέσεων του άλλου πλοίου.,Να χειρίζεται έγκαιρα ώστε να τηρείται μακριά από αυτό.,C
Ο όρος μηχανοκίνητο πλοίο σημαίνει:,Κάθε πλοίο που κινείται με τις μηχανές του.,Κάθε πλοίο που κινείται με ιστία.,Κανένα από τα Α και Β.,A
Όποια μεταβολή πορείας ή αλλαγή ταχύτητας επιχειρείται για αποφυγή σύγκρουσης πρέπει να είναι:,Αρκετά μεγάλη ώστε να γίνεται αμέσως αντιληπτή από το άλλο πλοίο.,Μικρή ώστε να γίνει σιγά-σιγά αντιληπτή από το άλλο πλοίο.,Κανένα από τα Α και Β.,A
Ο όρος αγκυροβολημένο πλοίο σημαίνει:,Ότι έχει ποντίσει (φυντάρει) τις άγκυρες του και παραμένει ακίνητο.,Ότι είναι προσδεμένο στην ακτή και παραμένει ακίνητο.,Είναι προσαραγμένο σε αβαθή νερά.,A
