Question,A,B,C,Correct answer
Βύθισμα είναι:,Η κατακόρυφη απόσταση από την απιφάνεια της θάλασσας μέχρι την τροπίδα του σκάφους.,Η κατακόρυφη απόσταση από την επιφάνεια της θάλασσας μέχρι τον πυθμένα.,Το μήκος της αλυσίδας της άγκυρας που απαιτείται για την αγκυροβολία του σκάφους.,A
Κατά τον κατάπλου σε θέση ελλιμενισμού:,Πλέουμε ήρεμα και με μεγάλη προσοχή.,Χειρίζουμε κατάλληλα.,Είμαστε έτοιμοι να χειρίσουμε κατάλληλα πλέοντας ήρεμα και με μεγάλη προσοχή.,C
Ναυτικός διαβήτης (κουμπάσο) είναι:,Όργανο με το οποίο χαράσσονται οι πορείες πάνω στο ναυτικό χάρτη.,Το βασικό όργανο για τον καθορισμό της πορείας ενός σκάφους.,Όργανο μέτρησης της απόστασης πάνω στο ναυτικό χάρτη.,C
Η πλωτή άγκυρα συνίσταται:,Στα μεγάλα βάθη.,Στα μικρά βάθη.,Αν χάσουμε την κανονική.,A
Αυτοί που χειρίζονται ταχύπλοα σκάφη οφείλουν:,Να επιτρέπουν την επιβίβαση ατόμων που δεν γνωρίζουν καλά κολύμβηση μόνον εφόσον φέρουν ατομικά σωσίβια.,Να απαγορεύουν την επιβίβαση ατόμων που δεν γνωρίζουν κολύμβηση ή άτομων που βρίσκονται υπό την επήρεια οινοπνευματωδών ποτών.,Να επιτρέπουν την επιβίβαση ατόμων που βρίσκονται υπό την επήρεια οινοπνευματωδών ποτών μόνον εφόσον κάθονται προσδεδεμένοι στις θέσεις τους.,B
"Στην κλίμακα έντασης ανέμου πέντε (5), μποφόρ το ύψος κύματος είναι:","1,25 – 2,25 μέτρα.","1,25 – 2,50 μέτρα.","2,50 – 4,00 μέτρα.",B
Κατά την αγκυροβολία πρέπει να αποφεύγεται:,Ο αμμώδης βυθός,Ο λασπώδης βυθός.,Ο βραχώδης βυθός.,C
Οι φανοί των πλοίων πρέπει να ανάβουν,Σε κάθε περίπτωση.,Από τη δύση μέχρι την ανατολή του ήλιου καθώς και στις περιπτώσεις περιορισμένης ορατότητας κατά τη διάρκεια της ημέρας.,Μόνο κατά τη νύχτα.,B
Ο Διεθνής Κανονισμός προς Αποφυγή Συγκρούσεων στη Θάλασσα (Δ.Κ.Α.Σ.) εφαρμόζεται υποχρεωτικά:,Στην ανοιχτή θάλασσα.,Τόσο στην ανοιχτή θάλασσα όσον και στα ύδατα που συγκοινωνούν με αυτή.,Σε όλο τον Ελληνικό θαλάσσιο χώρο.,B
Όταν ο κινητήρας δεν χρησιμοποιείται έστω και λίγο καιρό:,Πρέπει να μείνει καύσιμο στα καρμπυρατέρ για να μην στεγνώσουν.,Δεν πρέπει να μείνει καύσιμο στα καρμπυρατέρ.,Κανένα από τα Α και Β.,B
Κατά τη διάρκεια του πλου:,Είμαστε σε διαρκή ετοιμότητα.,Απολαμβάνουμε το ταξίδι αφήνοντας κάποιον από τους επιβαίνοντες να προσέχει.,Αν υποχρεωθούμε να δώσουμε προτεραιότητα ενεργούμε αργά ώστε να γίνουν πλήρως κατανοητές οι προθέσεις μας.,A
Ένα ακυβέρνητο πλοίο οφείλει να φέρει κατά τη διάρκεια της ημέρας:,Δύο μαύρες σφαίρες σε περίβλεπτη θέση και σε κατακόρυφη γραμμή.,Τρεις μαύρες σφαίρες σε περίβλεπτη θέση και σε κατακόρυφη γραμμή.,Σε περίβλεπτο σημείο δύο κώνους μαύρου χρώματος με τις κορυφές ανωμένες.,A
Σε περίπτωση αμφιβολίας ο κίνδυνος συγκρούσης θα θεωρείται ότι:,Δεν είναι σίγουρος.,Υπάρχει.,Δεν υπάρχει.,B
Τι χρώμα βγάζει το καπνογόνο:,Πορτοκαλί.,Γκρι.,Άσπρο.,A
Αλιευτικά πλοία που αλιεύουν οφείλουν κατά τη διάρκεια της ημέρας να φέρουν σε περίβλεπτο σημείο:,Τρεις μαύρες σφαίρες σε κατακόρυφη γραμμή.,Δύο μαύρες σφαίρες σε κατακόρυφη γραμμή.,Δύο κώνους μαύρους χρώματος με τις κορυφές ενωμένες.,C
"Όταν δύο μηχανοκίνητα πλοία συναντώνται με πορείες αντίθετες ή σχεδόν αντίθετες κατά τρόπο ώστε να υπάρχει κίνδυνος σύγκρουσης, κάθε ένα πλοίο υποχρεούται:",Να στρίψει δεξιά ώστε να περάσει από την αριστερή πλευρά του άλλου.,Να στρίψει αριστερά ώστε να περάσει από την αριστερή πλευρά του άλλου.,Να αναμένει τη στροφή του άλλου πλοίου προς τα δεξιά ώστε να περάσει από την αριστερή πλευρά του.,A
Κάθε προσαραγμένο πλοίο οφείλει να επιδεικνύει τη νύχτα:,Το φανό ή τους φανούς αγκυροβολίας (ανάλογα με το μήκος του) και δύο αναλαμπόντες κόκκινους φανούς ορατούς σε όλον τον ορίζοντα και σε κατακόρυφη γραμμή.,Το φανό ή τους φανούς αγκυροβολίας (ανάλογα με το μήκος του) και δύο κόκκινους φανούς ορατούς σε όλον τον ορίζοντα και σε κατακόρυφη γραμμή.,Τους πλευρικούς φανούς και δύο κόκκινους φανούς ορατούς σε όλον τον ορίζοντα και σε κατακόρυφη γραμμή.,B
Πείβλεπτος φανός είναι:,"Φανάρι ορατό απ’όλα τα σημεία του οριζοντα και χρησιμοποιείται σε πλοία ακυβέρνητα, προσαραγμένα, περιορισμένης ικανότητας χειρισμών καθώς και σε μικρά σκάφη. Το χρώμα του εξαρτάται από την κατάσταση του πλοίου που επισημαίνει.","Φανάρι με τα ίδια χαρακτηριστικά του εφίστιου φανού και χρησιμοποιείται σε πλοία ακυβέρνητα, προσαραγμένα, περιορισμένης ικανότητας χειρισμών καθώς και σε μικρά σκάφη. Το χρώμα του εξαρτάται από την κατάσταση του πλοίου.","Φανάρι με τα ίδια χαρακτηριστικά του φανού καρώνης και χρησιμοποιείται σε πλοία ακυβέρνητα, προσαραγμένα, περιορισμένης ικανότητας χειρισμών καθώς και σε μικρά σκάφη. Το χρώμα του εξαρτάται από την κατάσταση του πλοίου.",A
Ένα ρυμουλκούμενο πλοίο τη νύχτα επιδεικνύει:,"Έναν εφίστιο, πλευρικούς φανούς και φανό κορώνης.",Πλευρικούς φανούς και φανό κορώνης.,Δύο φανούς ορατούς σε όλο τον ορίζοντα.,B
Κάθε μηχανοκίνητο πλοίο οφείλει να απομακρύνεται από την πορεία:,Κάθε ακυβέρνητου ή ιστιοφόρου πλοίου μόνο.,Κάθε ακυβέρνητου ή περιορισμένης ικανότητας χειρισμών ή ασχολούμενου με την αλιεία ή ιστιοφόρου πλοίου.,Κάθε ακυβέρνητου ή ασχολούμενου με την αλιεία ή ιστιοφόρου μόνο.,B
