Question,A,B,C,Correct answer
Γεωγραφικές συντεταγμένες ενός σημείου είναι:,Το γεωγραφικό στίγμα του σκάφους σε χρονική στιγμή.,Το γεωγραφικό πλάτος F και το γεωγραφικό μήκος L.,Κανένα από τα παραπάνω.,B
Όταν ένα πλοίο πρέπει να διασχίσει την λωρίδα θαλάσσιας κυκλοφορίας:,Θα τη διασχίσει με γωνία 45 μοιρών.,Θα τη διασχίσει με ταχύτητα.,Θα τη διασχίσει σε ορθή γωνία (90 μοιρών).,C
Για την ασφαλή αγκυροβολία σε βάθος θάλασσας 5 μέτρων χρειάζονται:,25 μέτρα έκταμα.,20 μέτρα έκταμα.,15 μέτρα έκταμα.,A
Φανός κορώνης είναι:,Λευκό φανάρι στη μέση του πλοίου με 225 μοίρες τόξο.,Λευξό φανάρι στην πρύμνη 135 μοιρών και φωτίζει στη πλώρη.,Λευκό φανάρι στην πρύμνη 135 μοιρών και φωτίζει στη πρύμνη.,C
Το μπούκωμα του κινητήρα (αργή κίνηση του σκάφους ενώ ο κινητήρας δουλεύει στο φουλ) οφείλεται:,"Σε μπέρδεμα της προπέλας σε φύκια, σχοινιά κλπ.",Σε μεγάλο κυματισμό.,Σε ελλιπή τροφοδοσία καυσίμων.,A
Ο όρος ιστιοφόρο πλοίο σημαίνει:,Κάθε πλοίο που κινείται με ιστία (πανιά).,Κάθε μικρό ή μεγάλο πλοίο.,"Κάθε πλοίο με ιστία (πανιά), αλλά που χρησιμοποιεί και τη μηχανή για την προώθησή του.",A
Ο όρος “Ακυβέρνητο Πλοίο” σημαίνει:,"Κάθε πλοίο το οποίο δεν μπορεί να χειρίσει, με συνέπεια να μην μπορεί να απομακρύνθεί από την πορεία άλλου πλοίου.",Κάθε πλοίο που έχει περιορισμένη ικανότητα χειρισμών.,Κάθε πλοίο που αλιεύει με αλιευτικά εργαλεία τα οποία περιορίζουν την ικανότητα χειρισμών / ελιγμών του.,A
Αν κατά τη διάρκεια του ταξιδιού (πλου) ο καιρός χαλάει:,Αυξάνουμε στο μέγιστο την ταχύτητα για την επιστροφή στο λιμάνι.,Συνεχίζουμε το ταξίδι προς τον προορισμό μας.,Εφ’όσον απαιτείται μειώνουμε ταχύτητα ώστε το σκάφος να πλέει ασφαλώς και να μην εισέρχονται νερά σε αυτό.,C
Αν οδηγούμε το σκάφος μας πίσω από σκάφη που τραβούν σκιέρ:,Το οδηγούμε πάνω στα απόνερα για να αποφεύγουμε κλυδωνισμούς.,Διατηρούμε απόσταση ασφαλείας από τους σκιέρ και τα σκάφη.,Προσπαθούμε να προσπεράσουμε τους σκιέρ.,B
"Ένα αλιευτικό πλοίο που αλιεύει με γρίπο, το μήκος του δεν υπερβαίνει τα 50 μέτρα και κινείται κατά τη νύχτα φέρει:","Δύο φανούς ορατούς σε όλο τον ορίζοντα ο ανώτερος πράσινος, ο κατώτερος λαυκός.","Δύο φανούς ορατούς σε όλο τον ορίζοντα ο ανώτερος πράσινος, ο κατώτερος λευκός, πλευρικούς φανούς και φανό κορώνης.","Εφίστιο, πλευρικούς και κορώνης.",B
Μακρύς συριγμός είναι αυτός που διαρκεί:,1 δευτερόλεπτο.,3 δευτερόλεπτα.,4-6 δευτερόλεπτα.,C
Αν παρουσιαθεί κάποιο πρόβλημα και το σκάφος περιέλθει σε κατάσταση ανάγκης ή κινδύνου:,Εγκαταλείπουμε άμεσα το σκάφος πέφτοντας στη θάλασσα.,Χρησιμοποιούμε τα σηματα κινδύνου (καπνογόνα/βεγγαλικά κτλ) για να συνεγείρουμε τα παραπλέοντα σκάφη ή τους ευρισκόμενους στην ξηρά για να ειδοποιηθεί η Λιμενική Αρχή.,Δεν προβαίνουμε σε καμία ενέργεια.,B
Ένα προσαραγμένο πλοίο κατά τη διάρκεια της μέρας φέρει:,Δύο μαύρες σφαίρες σε κατακόρυφη γραμμή.,Τρείς μαύρες σφαίρες σε κατακόρυφη γραμμή.,Τους φανούς αγκυροβολίας.,B
Η κυκλοφορία των θαλάσσιων μονοποδηλάτων και HOVER CRAFTS απαγορεύεται:,"Σε απόσταση 200 μέτρων από σημαδούρες σε φυλασσόμενες πλαζ, 300 μέτρων από το συνηθισμένο σημείο λουόμενων και 500 μέτρα από τις ακτές με ταχύτητα άνω των 5 κόμβων.",Σε απόσταση μικρότερη των 200 μέτρων.,"Σε απόσταση 100 μέτρων από σημαδούρες σε φυλασσόμενες πλαζ, 200 μέτρων από το συνηθισμένο σημείο λουόμενων και 200 μέτρα από τις ακτές με ταχύτητα άνω των 5 κόμβων,",A
Ένα μηχανοκίνητο πλοίο μήκους άνω των 50 μέτρων κατά τη νύχτα όταν ταξιδεύει πρέπει να επιδεικνύει:,"Ένα εφίστιο, τους πλευρικούς και το φανό κορώνης.",Τους πλευρικούς φανούς και το φανό κορώνης.,"Δύο εφίστιους, τους πλευρικούς και το φανό κορώνης.",C
Πλοίο ασχολούμενο με την αλιεία πρέπει να απομακρύνεται:,Από κάθε ιστιοφόρο πλοίο.,Από ακυβέρνητο.,Από ακυβέρνητο και περιορισμένης ικανότητας χειρισμών.,C
Αυτός που χειρίζεται ένα ταχύπλοο σκάφος οφείλει:,Να γνωρίζει μόνο τις διατάξεις του Διεθνή Κανονισμού Αποφυγής Σύγκρουσης (ΔΚΑΣ),Να γνωρίζει μόνο τους ειδικούς κανονισμούς.,Να γνωρίζει τις διατάξεις του Διεθνή Κανονιαμού Αποφυγής Σύγκρουσης (ΔΚΑΣ) και τους ειδικούς κανονισμούς του κράτους που πλέει.,C
Ένα ναυτικό μίλι ισούται με:,1609 μέτρα.,1540 μέτρα.,1852 μέτρα.,C
Ο γαρμπής είναι άνεμος:,Νοτιοδυτικός.,Νοτιοανατολικός,Βόρειος.,A
Κάθε εξωλέμβιος κινητήρας πρέπει να περνά από πρώτο έλεγχο Service μετά από:,6 μήνες ή 50 ώρες λειτουργίας.,3 μήνες ή 50 ώρες λειτουργίας.,3 μήνες ή 20 ώρες λειτουργίας.,C
