Question,A,B,C,Correct answer
Ο όρος ακυβέρνητο πλοίο σημαίνει:,Κάθε πλοίο που έχουν βλάβη οι μηχανές του.,Κάθε πλοίο το οποίο δεν μπορεί (πχ λόγω βλάβης) να χειριστεί με συνέπεια την απομάκρυνση από την πορεία άλλου πλοίου.,Κάθε πλοίο που η θέση της εργασίας του δεν επιτρέπει να κάνει εύκολους χειρισμούς.,B
Ο όρος προσαραγμένο πλοίο σημαίνει:,Ότι το πλοίο από λάθος χειρισμούς ή άλλη αιτία έχει προσαράξει σε αβαθή νερά.,Ότι ένα πλοίο έχει βλάβη στις μηχανές του.,Ότι ένα πλοίο έχει προσδέσει στην ακτή.,A
Κάθε πλοίο ανά πάσα στιγμή θα πρέπει:,Να τηρεί οπτική επιτήρηση του θαλάσσιου χώρου που πλέει.,"Να τηρεί οπτική και ακουστική επιτήρηση του περιβάλλοντος χώρου για να είναι σε θέση, σε περίπτωση απειλής κινδύνου να εκτιμήσει πλήρως την κατάσταση και τον κίνδυνο σύγκρουσης.",Να τηρεί μόνο ακουστική επιτήρηση της θάλασσιας περιοχής που κινείται.,B
Πλοίο το οποίο υποχρεούται να διασχίσει λωρίδα θαλάσσιας κυκλοφορίας:,Θα τη διασχίσει προσεκτικά και κατά ορθή γωνία ως προς την κατεύθυνση της κυκλοφοριακής ροής.,Θα τη διασχίσει προσεκτικά χωρίς να υπολογίσει την πορεία πλεύσης.,Θα τη διασχίσει με μεγάλη ταχύτητα εκπέμποντας συριγμούς.,A
Οι φανοί των πλοίων πρέπει να ανάβουν:,Σε κάθε περίπτωση.,"Από την δύση μέχρι την ανατολή του ηλίου, καθώς και στις περιπτώσεις περιορισμένης ορατότητας κατά τη διάρκεια της ημέρας.",Μόνο τη νύχτα.,B
Πλευρικοί φανοί είναι:,"Ένα πράσινο φανάρι στην δεξιά πλευρά και ένα κόκκινο στην αριστερή πλευρά του πλοίου καθένα από τα οποία φωτίζει τόξο του ορίζοτνα 122,5 μοιρών.","Ένα πράσινο φανάρι στην δεξιά πλευρά και ένα κόκκινο στην αριστερή πλευρά του πλοίου καθένα από τα οποία φωτίζει τόξο του ορίζοντα 112,5 μοιρών.",Ένα πράσινο φανάρι στην δεξιά πλευρά και ένα κόκκινο στην αριστερή πλευρά του πλοίου καθένα από τα οποία φωτίζει τόξο του ορίζοντα 180 μοιρών.,B
Φανός κορώνης είναι:,Λευκός περίβλεπτος φανός στην πρύμνη του πλοίου.,"Λευκός περίβλεπτος κατά τέτοιο τρόπο τοποθετημένος ώστε νε φωτίζει 67,5 μοίρες στον ιστό του πλοίου.","Λευκό φανάρι στην πρύμνη του πλοίου και φωτίζει τόξο ορίζοντα 135 μοιρών κατά τέτοιο τρόπο ώστε να φωτίζει 67,5 μοίρες δεξιά και αριστερά της πρύμνης.",C
Περίβλεπτος φανός είναι:,Λευκός φανός 180 μοιρών.,Κόκκινος φανός 360 μοιρών.,Φανός ορατός από όλα τα σημεία του ορίζοντα (φωτίζει δηλ. τόξο 360 μοιρών). Το χρώμα του εξαρτάται από την κατάσταση του πλοίου το οποίο το φέρει.,C
Ένας βραχύς συριγμός σημαίνει:,Στρέφω δεξιά.,Στρέφω αριστερά.,Χειρίζω ανάποδα.,A
Τρεις βραχείς συριγμοί σημαίνουν:,Στρέφω δεξιά.,Στρέφω αριστερά.,Χειρίζω ανάποδα.,C
