Question,A,B,C,Correct answer
Πορτολάνα είναι:,Ναυτικός χάρτης μεγάλης κλίμακας που δείχνει μια θαλάσσια περιοχή.,Απόσπασμα ναυτικού χάρτη υπό μικρή κλίμακα που δείχνει τη γύρω από κάθε λιμάνι περιοχή.,"Απόσπασμα ναυτικού χάρτη υπό μεγάλη κλίμακα που δείχνει με μεγάλες λεπτομέρειες, λιμάνια, όρμους, λιμενίσκους.",C
Η χρησιμοποίηση / πυροδότηση των φωτιστικών σημάτων κινδύνου γίνεται:,Για να δείξουμε ότι κάποιος από την παρέα γιορτάζει.,"Για να δείξουμε ότι πιάνουμε πολλά ψάρια, στο σημείο που είμαστε.",Μετά από ώριμη σκέψη και ορθή εκτίμηση της κατάστασης.,C
Βραχύς συριγμός είναι αυτός που διαρκεί:,4-6 δευτερόλεπτα.,1 δευτερόλεπτο.,2 δευτερόλεπτα.,B
Αν κατά τη διάρκεια του πλου ο καιρός επιδεινωθεί:,Συνεχίζουμε το ταξίδι προς τον προορισμό μας.,Αν απαιτείται από την κατάσταση της θάλασσας και τον άνεμο κάνουμε αλλαγές πορείας για να επιστρέψουμε γρήγορα στο λιμάνι ή άλλο όρμο.,"Αυξάνουμε στο, μέγιστο την ταχύτητα του σκάφους για να επιστρέψουμε το ταχύτερο στο λιμάνι.",B
Κλίμακα μήκους είναι:,Η χαραγμένη στην δεξιά και αριστερά πλευρά του χάρτη.,Η χαραγμένη στην πάνω ή κάτω πλευρά του χάρτη.,Στην αριστερή και δεξιά πλευρά του χάρτη και μετράμε με το κουμπάσο τις αποστάσεις.,B
Ένα αγκυροβολημένο πλοίο οφείλει κατά την διάρκεια της μέρας να φέρει:,Σε περίβλεπτο σημείο της πλώρης μια μαύρη σφαίρα.,Ένα μαύρο κώνο στην πλώρη.,Σε περίβλεπτο σημείο της πρύμνης μια μαύρη σφαίρα.,A
Ένα ιστιοφόρο πλοίο κατά τη νύχτα πρέπει να επιδεικνύει:,"Έναν εφίστιο φανό, τους πλευρικούς και το φανό κορώνης.","Δύο εφίστιους φανούς, τους πλευρικούς και τον κορώνης.",Τους πλευρικούς και τον κορώνης.,C
Ένα μηχανοκίνητο πλοίο κάτω των 50 μέτρων όταν κινείται κατά τη νύχτα πρέπει να επιδεικνύει:,"Δύο εφίστιους φανούς, τους πλευρικούς και τον κορώνης.","Έναν εφίστιο φανό, τους πλευρικούς και το φανό κορώνης.",Τους πλευρικούς και το φανό κορώνης.,B
Η γνώση του δελτίου καιρού κρίνεται απαραίτητη για να:,Ματαιώνουμε το ταξίδι όταν επικρατούν δυσμενείς καιρικές συνθήκες.,Δείχνουμε στους επιβαίνοντες ότι γνωρίζουμε από καιρούς.,Αγκυροβολούμε και να καθορίζουμε το έκταμα.,A
Όταν οδηγούμε το σκάφος μας σε δίαυλο:,Κρατάμε πορεία στη μέση για να χειρίσουμε δεξιά αν παραστεί ανάγκη.,Κρατάμε πορεία στη μέση για να χειρίσουμε αριστερά αν παραστεί ανάγκη.,Κρατάμε πορεία μόνο δεξιά.,C
Αυξομείωση των στροφών της μηχανής (σκορτσαρίσματα) οφείλονται συνήθως:,Όταν το πτερύγιο της προπέλας είναι σπασμένο.,Όταν έχει έντονο κυματισμό.,Όταν υπάρχει ελλιπής τροφοδοσία.,C
Στην είσοδο του λιμανιού ο πράσινος φανός τοποθετείται:,Στην αριστερή πλευρά σε σχέση με το εισερχόμενο πλοίο.,Στη δεξιά πλευρά σε σχέση με το εισερχόμενο.,Στη δεξιά πλευρά σε σχέση με το εξερχόμενο πλοίο.,B
