Question,A,B,C,Correct answer
Το ψαροντούφεκο στην περιοχή του Κεντρικού Λιμεναρχέιου Πειραιά απαγορεύεται:,Έξω από το λιμάνι του Πειραιά.,Στις πλαζ του Πειραιά.,Από την Πειραϊκή χερσόνησο και έως το 42ο χλμ. Πειραιά- Σουνίου.,C
Το ναυτικό μίλι είναι μονάδα μέτρησης:,Της απόστασης στη θάλασσα.,Της ταχύτητας στη θάλασσα.,Κανένα από τα a και b.,A
Βάθος είναι:,Η κατακόρυφη απόσταση από την επιφάνεια της θάλασσας έως τον πυθμένα.,Η κατακόρυφη απόσταση από την επιφάνεια της θάλασσας έως την τρόπιδα του σκάφους.,Κανένα από τα a και b.,A
Κλίμακα πλάτους είναι:,Η χαραγμένη στην πάνω και κάτω πλευρά του χάρτη κλίμακα.,Η χαραγμένη στην αριστερή και δεξιά πλευρά του χάρτη κλίμακα.,Κανένα από τα a και b.,B
Κλίμακα μήκους είναι:,Η χαραγμένη στην πάνω και κάτω πλευρά του χάρτη κλίμακα.,Η χαραγμένη στην αριστερή και δεξιά πλευρά του χάρτη κλίμακα.,Κανένα από τα a και b.,A
Που μετριέται η απόσταση:,Μόνο στην κλίμακα πλάτους.,Μόνο στην κλίμακα μήκους.,Και στην κλίμακα πλάτους και στην κλίμακα μήκους.,A
Γεωγραφικό στίγμα είναι:,Ο προσδιορισμός της πορείας ενός πλοίου για το σημείο προορισμού.,Το σημείο πάνω στο ναυτικό χάρτη που βρίσκεται το σκάφος σε δεδομένη χρονική στιγμή και προσδιορίζεται από την τομή του παραλλήλου του πλάτους.,Η απόσταση που βρίσκεται το σκάφος από το λιμάνι αναχώρησης.,B
Η πρωταρχική αιτία του ανέμου είναι:,Η διαφορά θερμοκρασίας του αέρα.,Η διεύθυνση και η ένταση.,Τα βαρομετρικά χαμηλά.,A
Τραμουντάρα είναι ο άνεμος:,Ανατολικός.,Δυτικός.,Βόρειος.,C
Σιρόκος είναι ο άνεμος:,Δυτικός.,Βορειοδυτικός.,Νοτιοανατολικός.,C
Μαΐστρος είναι ο άνεμος:,Νοτιοδυτικός.,Βορειοδυτικός.,Βορειοανατολικός.,B
Η κλίμακα 5 Μποφόρ είναι:,Θάλασσα ταραγμένη.,Θάλασσα πολύ ταραγμένη.,Θάλασσα κυματώδης.,B
Στα 6 Μποφόρ το ύψος κύματος είναι:,"1,25 - 2μ.","1,25 - 2,5μ.","2,5 - 4μ.",C
Η πλωτή άγκυρα συνιστάται:,Στα μεγάλα βάθη.,Στα μικρά βάθη.,Αν χάσουμε την κανονική.,A
Κατά τον κατάπλου του σκάφους ο χειριστής οφείλει:,Να πλέει ήρεμα και με μεγάλη προσοχή.,Να πλέει με μεγάλη ταχύτητα έχοντας την προσοχή του τεταμένη για την αποφυγή ατυχήματος.,Να πλέει με πολύ μικρή ταχύτητα.,A
Όταν ο φάρος εκπέμπει κόκκινο φως:,Η περιοχή χαρακτηρίζεται ως επικίνδυνη.,Η περιοχή χαρακτηρίζεται ως ακίνδυνη.,Η περιοχή έχει ρεύματα.,A
Όταν ο κινητήρας (μηχανή) δεν χρησιμοποιείται έστω και για λίγο χρόνο:,Αφήνουμε τα καύσιμα όπως είναι στο καρμπυρατέρ του κινητήρα.,"Αποσυνδέουμε την παροχή καυσίμου και αφήνουμε τη μηχανή να δουλέψει στο ρελαντί, μέχρι εξαντλήσεως του καυσίμου.",Δεν κάνουμε καμία ενέργεια.,B
"Το μπούκωμα της μηχανής (αργή κίνηση του σκάφους, παρότι ο κινητήρας δουλεύει στο φουλ) οφείλεται:","Στην προπέλα που είναι μπερδεμένη σε σχοινιά, σακούλες, φύκια κ. α.",Σε υπερχείλιση του καρμπυρατέρ.,Σε κακές καιρικές συνθήκες.,A
Όταν ο κινητήρας μπαίνει σε κίνηση οι στροφές πρέπει να είναι:,Στο μέγιστο.,Ανεβάζουμε σταδιακά τις στροφές.,Δεν δίνουμε καμία σημασία.,B
Όταν ο κινητήρας είναι σε κίνηση οι στροφές πρέπει να είναι στο μέγιστο;,Ναι για να έχουμε καλή επιτάχυνση.,Δεν πρέπει να είναι.,Ανεβάζουμε σταδιακά τις στροφές.,C
Ο Διεθνής Κανονισμός προς Αποφυγή Συγκρούσεων στη θάλασσα (Δ.Κ.Α.Σ) εφαρμόζεται υποχρεωτικά:,Σε όλη την Ελλάδα.,Σε όλα τα κράτη της υδρογείου.,Τόσο στην ανοιχτή θάλασσα όσο και στα ύδατα που συγκοινωνούν με αυτήν.,C
Ο Διεθνής Κανονισμός προς Αποφυγή Συγκρούσεων στη θάλασσα (Δ.Κ.Α.Σ) έχει εφαρμογή:,Σε όλα τα Εμπορικά και Επιβατηγά πλοία.,Σε όλα τα Ναυταθλητικά πλοία και πολεμικά.,Σε όλα τα πλοία χωρίς εξαίρεση.,C
