Question,A,B,C,Correct answer
Ο Διεθνής Κανονισμός Αποφυγής Σύγκρουσης (Δ.Κ.Α.Σ) ισχύει:,Σε όλες τις ελληνικές θάλασσες.,Σε όλους τους λιμένες της υδρογείου.,Σε όλα τα μήκη και τα πλάτη της υδρογείου.,C
Ένα πλοίο που καταφθάνει ένα άλλο πλοίο οφείλει:,Να ζητήσει από το προπορευόμενο να αλλάξει πορεία.,Να συνεχίσει την πορεία του περιμένοντας την αλλαγή πορείας του προπορευομένου.,Να απομακρυνθεί από την πορεία του καταφθανόμενου.,C
Κάθε αγκυροβολημένο πλοίο άνω των 50μ. οφείλει να επιδεικνύει:,Ένα λευκό εφίστιο φανάρι.,Ένα λευκό φανό στην πλώρη και ένα λευκό φανό στην πρύμνη ορατοί και οι δύο σε όλον τον ορίζοντα.,Ένα λευκό φανό στην πρύμνη ορατό σε όλον τον ορίζοντα.,B
Κάθε κυβερνήτης πλοίου οφείλει:,Να κάνει οπτική επιτήρηση του χώρου του.,Να κάνει και οπτική και ακουστική επιτήρηση.,Να κάνει μόνο ακουστική επιτήρηση.,B
Ο φανός της ρυμούλκησης είναι:,Κίτρινο φανάρι που έχει τα ίδια χαρακτηριστικά του κορώνης και μπαίνει στην πρύμνη του ρυμουλκού.,Κίτρινο φανάρι που έχει τα ίδια χαρακτηριστικά του κορώνης και μπαίνει στην πρύμνη του ρυμουλκούμενου.,Περίβλεπτος κίτρινος φανός και μπαίνει στην πρύμνη του ρυμουλκού.,A
Κάθε ιστιοφόρο πλοίο πρέπει να δίνει προτεραιότητα:,Σε κάθε μηχανοκίνητο σκάφος.,Σε κάθε πλοίο.,"Σε ακυβέρνητο, περιορισμένης ικανότητας χειρισμών και αλιευτικό.",C
Όταν είμαστε μα το σκάφος σε δίαυλο:,Αγκυροβολούμε σε χώρο που δεν εμποδίζουμε άλλα σκάφη.,Δεν αγκυροβολούμε ούτε εμποδίζουμε την κίνηση άλλων σκαφών.,Αγκυροβολούμε και επιδεικνύουμε τα σχήματα αγκυροβολίας.,B
Ο όρος πλοίο απασχολούμενο με την αλιεία σημαίνει:,"Κάθε πλοίο που ψαρεύει με δίχτυα, γρίπο κ.λ.π. και εμποδίζει να κάνει εύκολους χειρισμούς.",Κάθε αλιευτικό πλοίο.,Κάθε πλοίο που ψαρεύει ασχέτως αν εμποδίζεται η ικανότητα χειρισμών του.,A
Ο Βορειοανατολικός άνεμος λέγεται:,Πουνέντες.,Γρέγος.,Λεβάντες.,B
Το σήμα κινδύνου που εκπέμπεται από το VHF ή το ραδιοτηλέφωνο δίνεται:,Από την ομάδα SOS μορσικό.,Από το MAY DAY,Από το NC.,B
Ένα ακυβέρνητο πλοίο την ημέρα φέρει:,Τρεις μαύρες σφαίρες.,Δύο κώνους με τις κορυφές ενωμένες.,Δύο μαύρες σφαίρες.,C
Για να μπούμε με ασφάλεια στο σκάφος:,Πηδάμε στο σκάφος όσο πιο κοντά γίνεται.,"Πατάμε το ένα πόδι στη στεριά, το άλλο στο σκάφος και πηδάμε την κατάλληλη στιγμή.",Κρατιόμαστε γερά από κάποιον και μπαίνουμε με ασφάλεια.,C
"Ένα μηχανοκίνητο σκάφος κάτω από 7 μέτρα, του οποίου η ταχύτητα είναι κάτω από 7 κόμβους πρέπει να φέρει:",Τους πλευρικούς φανούς.,Δύο πλευρικούς και κορώνης.,Ένα περίβλεπτο κι εφόσον μπορεί και πλευρικούς.,C
Οι ιδιοκτήτες σκαφών οφείλουν:,Να φροντίζουν τα σκάφη τους με υποδείξεις φίλων.,Να φροντίζουν την καλή κατάσταση των σκαφών.,Να φροντίζουν σύμφωνα με τις κείμενες διατάξεις.,C
Το ρεζερβουάρ της βενζίνης πρέπει να είναι γεμάτο μέχρι επάνω:,"Όχι, λόγω υπερχείλισης των καρμπυρατέρ.",Ναι για να έχουμε επάρκεια στα καύσιμα.,"Όχι, λόγω της διαστολής της βενζίνης.",C
Ο κόμβος είναι μονάδα μέτρησης:,Της ταχύτητας στη θάλασσα.,Της απόστασης στη θάλασσα.,Της ταχύτητας και αντιστοιχεί σε διανυόμενο μίλι ανά ώρα.,C
Ασφαλής αγκυροβολία σε βάθος θάλασσας 12 μέτρων χρειάζεται έκταμα:,Τουλάχιστον 50 μέτρα.,Τουλάχιστον 60 μέτρα.,Τουλάχιστον 36 μέτρα.,C
Γεωγραφικό στίγμα είναι:,Η απόσταση που είναι το σκάφος από το λιμάνι.,Η πορεία που ακολουθεί ένα πλοίο.,Το σημείο πάνω στο Ναυτικό Χάρτη που βρίσκεται το σκάφος σε δεδομένη χρονική στιγμή.,C
Αν παρουσιαστεί πρόβλημα και κινδυνεύει το σκάφος:,Εγκαταλείπουμε αμέσως το σκάφος και πέφτουμε στη θάλασσα.,Δεν κάνουμε τίποτε.,"Χρησιμοποιούμε τα σήματα κινδύνου (βεγγαλικά, καπνογόνα κ.λ.π.)",C
Κατά τη διάρκεια του πλου:,Είμαστε σε διαρκή ετοιμότητα.,Απολαμβάνουμε το ταξίδι αφήνοντας κάποιον από τους επιβαίνοντες να προσέχει.,Αν υποχρεωθούμε να δώσουμε προτεραιότητα ενεργούμε αργά ώστε να γίνουν πλήρως κατανοητές οι προθέσεις μας.,A
Αυτοί που χειρίζονται ταχύπλοα σκάφη οφείλουν:,Να επιτρέπουν την επιβίβαση ατόμων που ο αριθμός τους είναι ο μεγαλύτερος του επιτρεπόμενου μόνον εφόσον επικρατούν καλές καιρικές συνθήκες.,Να απαγορεύουν την επιβίβαση ατόμων που ο αριθμός τους είναι μεγαλύτερος του επιτρεπόμενου.,Να επιτρέπουν την επιβίβαση ατόμων που ο αριθμός τους είναι μεγαλύτερος του επιτρεπόμενου μόνον εφόσον τα σωστικά μέσα επαρκούν για όλους τους επιβαίνοντες.,B
